system:index,area_km2,class,code,county,state,.geo
0,0.02226162217450142,Cloud,1,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.005714573465108871,Soil,2,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.1310758975286483,Water,3,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.20498451669287682,Dead grass,4,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.019564350835084916,Marsh,5,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.047611233548402784,Scrub,6,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.4724606347899436,Grass,7,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.3401985042016507,Forested upland,8,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.669162546663046,Forested wetland,9,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.9442945752794742,Developed,10,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
