system:index,area_km2,class,code,county,state,.geo
0,0.02408499389433861,Cloud,1,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.012451879054069519,Soil,2,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.37610701353764536,Water,3,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.18017769823265076,Dead grass,4,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.028472034282684328,Marsh,5,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.044165724542856215,Scrub,6,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.4610999887976646,Grass,7,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.787796088181734,Forested upland,8,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.8666346081938743,Forested wetland,9,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.4039927127738,Developed,10,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
