system:index,area_km2,class,code,county,state,.geo
0,0.07598393623805046,Cloud,1,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.023184337680578232,Soil,2,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.31440165813302995,Water,3,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.2721599975197315,Dead grass,4,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.022990298356294632,Marsh,5,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.051951823350906375,Scrub,6,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.936080556834221,Grass,7,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.9642462517004013,Forested upland,8,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.6182456950521469,Forested wetland,9,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.11125783166337,Developed,10,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
