system:index,area_km2,class,code,county,state,.geo
0,0.031264447257995605,Cloud,1,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.015349146774291993,Soil,2,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.4412856548249722,Water,3,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.1776558455080986,Dead grass,4,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.01970813873696327,Marsh,5,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.041447357503414155,Scrub,6,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.3330496159131526,Grass,7,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.9496555232543946,Forested upland,8,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.4846914135217666,Forested wetland,9,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.428649379424095,Developed,10,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
