system:index,area_km2,class,code,county,state,.geo
0,0.009413612308263779,Cloud,1,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.0012021158845424652,Soil,2,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.9532029530451298,Water,3,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.11465188735032082,Dead grass,4,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.01828005496764183,Marsh,5,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.0178683846244812,Scrub,6,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.8069178909425736,Grass,7,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.3174940098483563,Forested upland,8,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.3438534985518458,Forested wetland,9,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.2856552029261589,Developed,10,Pinellas,Florida,"{""type"":""MultiPoint"",""coordinates"":[]}"
